品番,品名,長さ,幅,高さ,重量,数量
573228,DC0001,290,170,180,4.34,3
583285,DD0001,290,200,230,4.78,1
601449,DE0001,361,215,264,7.8,1
601450,O0001,360,215,305,7.8,11
601451,BF0001,355,215,305,7.8,3
601452,DF0001,355,210,260,7.8,1
601453,BG0001,356,217,311,7.8,1
601456,DG0001,360,215,305,7.8,1
601457,DH0001,355,210,265,7.8,1
601458,BZ0001,355,215,305,7.9,12
601711,DI0001,400,295,235,7.8,1
601734,BH0001,423,269,275,14.2,10
601748,DJ0001,390,255,230,12.2,4
601750,DK0001,398,252,264,7.5,2
601751,DL0001,345,310,285,13.8,1
601867,DM0001,377,338,239,10.8,1
601868,P0001,425,270,237,12.5,4
