BatchNo,PalletNo,Code,Weight,Length,Width,Height,Num,Color
65,9409,549501,10.7,610,390,190,10,red
65,9409,549501,10.7,610,390,190,10,red
65,9409,549501,10.7,610,390,190,10,red
65,9409,549501,10.7,610,390,190,10,red
65,9409,549501,10.7,610,390,190,10,red
65,9409,549501,10.7,610,390,190,10,red
65,9409,549501,10.7,610,390,190,10,red
65,9409,549501,10.7,610,390,190,10,red
65,9409,549501,10.7,610,390,190,10,red
65,9409,549501,10.7,610,390,190,10,red
65,9409,557620,1.7,580,400,280,4,tan
65,9409,557620,1.7,580,400,280,4,tan
65,9409,557620,1.7,580,400,280,4,tan
65,9409,557620,1.7,580,400,280,4,tan
