BatchNo,PalletNo,Code,Weight,Length,Width,Height,Num,Color
1,308,547396,11.85,370,355,265,2,red
1,308,547396,11.85,370,355,265,2,red
1,308,547399,8.18,330,265,250,1,tan
1,308,556326,14.4,460,345,260,6,blue
1,308,556326,14.4,460,345,260,6,blue
1,308,556326,14.4,460,345,260,6,blue
1,308,556326,14.4,460,345,260,6,blue
1,308,556326,14.4,460,345,260,6,blue
1,308,556326,14.4,460,345,260,6,blue
1,308,556329,9.6,325,305,260,7,gold
1,308,556329,9.6,325,305,260,7,gold
1,308,556329,9.6,325,305,260,7,gold
1,308,556329,9.6,325,305,260,7,gold
1,308,556329,9.6,325,305,260,7,gold
1,308,556329,9.6,325,305,260,7,gold
1,308,556329,9.6,325,305,260,7,gold
1,308,556330,12.8,410,320,260,4,navy
1,308,556330,12.8,410,320,260,4,navy
1,308,556330,12.8,410,320,260,4,navy
1,308,556330,12.8,410,320,260,4,navy
1,308,556331,8.1,370,230,245,4,plum
1,308,556331,8.1,370,230,245,4,plum
1,308,556331,8.1,370,230,245,4,plum
1,308,556331,8.1,370,230,245,4,plum
1,308,614008,10.4,331,304,185,1,gray
1,308,614009,14,400,325,190,1,black
1,308,614010,8.4,325,261,192,3,bisque
1,308,614010,8.4,325,261,192,3,bisque
1,308,614010,8.4,325,261,192,3,bisque
1,308,614011,10.2,325,310,190,4,sienna
1,308,614011,10.2,325,310,190,4,sienna
1,308,614011,10.2,325,310,190,4,sienna
1,308,614011,10.2,325,310,190,4,sienna
1,308,614022,8.4,347,278,222,3,yellow
1,308,614022,8.4,347,278,222,3,yellow
1,308,614022,8.4,347,278,222,3,yellow
1,308,614023,8,380,210,205,3,silver
1,308,614023,8,380,210,205,3,silver
1,308,614023,8,380,210,205,3,silver
1,308,616031,11,444,269,249,2,fuchsia
1,308,616031,11,444,269,249,2,fuchsia
1,308,616032,8.9,332,299,249,1,darkcyan
1,348,380186,8.3,299,255,225,1,moccasin
1,348,380187,8.32,450,250,150,1,seagreen
1,348,547395,9.4,370,290,265,5,aliceblue
1,348,547395,9.4,370,290,265,5,aliceblue
1,348,547395,9.4,370,290,265,5,aliceblue
1,348,547395,9.4,370,290,265,5,aliceblue
1,348,547395,9.4,370,290,265,5,aliceblue
1,348,556327,13,440,290,260,3,darkgreen
1,348,556327,13,440,290,260,3,darkgreen
1,348,556327,13,440,290,260,3,darkgreen
1,348,602352,10,355,350,200,3,darkkhaki
1,348,602352,10,355,350,200,3,darkkhaki
1,348,602352,10,355,350,200,3,darkkhaki
1,348,602354,12.5,535,360,155,5,firebrick
1,348,602354,12.5,535,360,155,5,firebrick
1,348,602354,12.5,535,360,155,5,firebrick
1,348,602354,12.5,535,360,155,5,firebrick
1,348,602354,12.5,535,360,155,5,firebrick
1,348,614009,14,400,325,190,1,black
1,348,616029,9.04,355,315,250,4,olivedrab
1,348,616029,9.04,355,315,250,4,olivedrab
1,348,616029,9.04,355,315,250,4,olivedrab
1,348,616029,9.04,355,315,250,4,olivedrab
1,348,616030,10.7,430,275,245,7,palegreen
1,348,616030,10.7,430,275,245,7,palegreen
1,348,616030,10.7,430,275,245,7,palegreen
1,348,616030,10.7,430,275,245,7,palegreen
1,348,616030,10.7,430,275,245,7,palegreen
1,348,616030,10.7,430,275,245,7,palegreen
1,348,616030,10.7,430,275,245,7,palegreen
1,348,616031,11,444,269,249,5,fuchsia
1,348,616031,11,444,269,249,5,fuchsia
1,348,616031,11,444,269,249,5,fuchsia
1,348,616031,11,444,269,249,5,fuchsia
1,348,616031,11,444,269,249,5,fuchsia
4,134,534734,8.6,350,215,265,1,royalblue
4,134,538785,8.6,512,329,412,1,slategray
4,134,547207,8,435,215,220,1,rosybrown
4,134,550678,8.9,350,270,205,2,chartreuse
4,134,550678,8.9,350,270,205,2,chartreuse
4,134,550679,9.02,360,270,205,1,darkorchid
4,134,550680,9,355,270,205,1,darksalmon
4,134,550706,7.3,357,273,175,2,sandybrown
4,134,550706,7.3,357,273,175,2,sandybrown
4,134,550707,7.36,355,270,170,2,whitesmoke
4,134,550707,7.36,355,270,170,2,whitesmoke
4,134,550710,7.32,355,270,170,1,deepskyblue
4,134,553253,2.14,540,340,235,1,floralwhite
4,134,554962,2.7,460,265,368,1,mediumpurple
4,134,554965,3.6,476,318,400,1,darkturquoise
4,134,558636,1.6,306,258,259,1,lightseagreen
4,134,558642,4.6,373,328,408,2,paleturquoise
4,134,558642,4.6,373,328,408,2,paleturquoise
4,134,558643,4.5,375,315,420,1,palevioletred
4,134,558769,11.7,430,271,237,1,mediumvioletred
4,134,558812,7.38,385,316,132,3,mediumspringgreen
4,134,558812,7.38,385,316,132,3,mediumspringgreen
4,134,558812,7.38,385,316,132,3,mediumspringgreen
4,134,558866,5.7,386,356,392,1,lightgoldenrodyellow
4,134,559114,7.8,355,215,305,1,
4,134,559202,6.1,362,209,220,1,
4,134,559206,5.8,362,209,172,1,
4,134,559564,6.18,355,210,225,2,
4,134,559564,6.18,355,210,225,2,
4,134,601451,7.8,355,215,305,1,
4,134,601453,7.8,356,217,311,1,
4,134,601734,14.2,423,269,275,2,
4,134,601734,14.2,423,269,275,2,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548385,6.46,425,250,200,18,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,114,548465,5.42,310,200,195,50,
5,116,555575,14,430,271,274,1,
5,116,555708,14.6,415,270,270,2,
5,116,555708,14.6,415,270,270,2,
5,116,558641,6.4,530,340,390,1,
5,116,558643,4.5,375,315,420,1,palevioletred
5,116,558683,5,540,275,420,2,
5,116,558683,5,540,275,420,2,
5,116,558866,5.7,386,356,392,1,lightgoldenrodyellow
5,116,558868,5.1,525,280,405,2,
5,116,558868,5.1,525,280,405,2,
5,116,559206,5.8,362,209,172,1,
5,116,601450,7.8,360,215,305,1,
5,116,601868,12.5,425,270,237,2,
5,116,601868,12.5,425,270,237,2,
5,116,940736,8.4,359,190,230,1,
5,150,573228,4.34,290,170,180,3,
5,150,573228,4.34,290,170,180,3,
5,150,573228,4.34,290,170,180,3,
5,150,583285,4.78,290,200,230,1,
5,150,601449,7.8,361,215,264,1,
5,150,601450,7.8,360,215,305,11,
5,150,601450,7.8,360,215,305,11,
5,150,601450,7.8,360,215,305,11,
5,150,601450,7.8,360,215,305,11,
5,150,601450,7.8,360,215,305,11,
5,150,601450,7.8,360,215,305,11,
5,150,601450,7.8,360,215,305,11,
5,150,601450,7.8,360,215,305,11,
5,150,601450,7.8,360,215,305,11,
5,150,601450,7.8,360,215,305,11,
5,150,601450,7.8,360,215,305,11,
5,150,601451,7.8,355,215,305,3,
5,150,601451,7.8,355,215,305,3,
5,150,601451,7.8,355,215,305,3,
5,150,601452,7.8,355,210,260,1,
5,150,601453,7.8,356,217,311,1,
5,150,601456,7.8,360,215,305,1,
5,150,601457,7.8,355,210,265,1,
5,150,601458,7.9,355,215,305,12,
5,150,601458,7.9,355,215,305,12,
5,150,601458,7.9,355,215,305,12,
5,150,601458,7.9,355,215,305,12,
5,150,601458,7.9,355,215,305,12,
5,150,601458,7.9,355,215,305,12,
5,150,601458,7.9,355,215,305,12,
5,150,601458,7.9,355,215,305,12,
5,150,601458,7.9,355,215,305,12,
5,150,601458,7.9,355,215,305,12,
5,150,601458,7.9,355,215,305,12,
5,150,601458,7.9,355,215,305,12,
5,150,601711,7.8,400,295,235,1,
5,150,601734,14.2,423,269,275,10,
5,150,601734,14.2,423,269,275,10,
5,150,601734,14.2,423,269,275,10,
5,150,601734,14.2,423,269,275,10,
5,150,601734,14.2,423,269,275,10,
5,150,601734,14.2,423,269,275,10,
5,150,601734,14.2,423,269,275,10,
5,150,601734,14.2,423,269,275,10,
5,150,601734,14.2,423,269,275,10,
5,150,601734,14.2,423,269,275,10,
5,150,601748,12.2,390,255,230,4,
5,150,601748,12.2,390,255,230,4,
5,150,601748,12.2,390,255,230,4,
5,150,601748,12.2,390,255,230,4,
5,150,601750,7.5,398,252,264,2,
5,150,601750,7.5,398,252,264,2,
5,150,601751,13.8,345,310,285,1,
5,150,601867,10.8,377,338,239,1,
5,150,601868,12.5,425,270,237,4,
5,150,601868,12.5,425,270,237,4,
5,150,601868,12.5,425,270,237,4,
5,150,601868,12.5,425,270,237,4,
6,146,549133,5.5,359,214,173,1,
6,146,551019,7.54,280,190,225,1,
6,146,551492,5.82,355,210,210,1,
6,146,554070,6.56,320,170,205,2,
6,146,554070,6.56,320,170,205,2,
6,146,554071,6.5,325,175,210,5,
6,146,554071,6.5,325,175,210,5,
6,146,554071,6.5,325,175,210,5,
6,146,554071,6.5,325,175,210,5,
6,146,554071,6.5,325,175,210,5,
6,146,554216,6.54,316,170,211,1,
6,146,554289,7.2,320,180,210,3,
6,146,554289,7.2,320,180,210,3,
6,146,554289,7.2,320,180,210,3,
6,146,554809,7.16,320,180,210,1,
6,146,558820,4.5,430,325,396,1,
6,146,558821,4.7,410,330,380,3,
6,146,558821,4.7,410,330,380,3,
6,146,558821,4.7,410,330,380,3,
6,146,559200,14.5,395,315,260,6,
6,146,559200,14.5,395,315,260,6,
6,146,559200,14.5,395,315,260,6,
6,146,559200,14.5,395,315,260,6,
6,146,559200,14.5,395,315,260,6,
6,146,559200,14.5,395,315,260,6,
6,146,559206,5.8,362,209,172,4,
6,146,559206,5.8,362,209,172,4,
6,146,559206,5.8,362,209,172,4,
6,146,559206,5.8,362,209,172,4,
6,146,601451,7.8,355,215,305,2,
6,146,601451,7.8,355,215,305,2,
6,146,601458,7.9,355,215,305,2,
6,146,601458,7.9,355,215,305,2,
6,146,602792,3.9,380,315,380,3,
6,146,602792,3.9,380,315,380,3,
6,146,602792,3.9,380,315,380,3,
6,146,602794,3.7,395,310,400,2,
6,146,602794,3.7,395,310,400,2,
6,146,603213,8.4,361,214,237,1,
6,146,916234,15.9,420,270,270,2,
6,146,916234,15.9,420,270,270,2,
6,146,916235,15.9,430,271,274,1,
6,146,916236,9.4,414,240,221,1,
6,146,919417,7.3,306,233,200,3,
6,146,919417,7.3,306,233,200,3,
6,146,919417,7.3,306,233,200,3,
6,146,919432,7.3,300,230,195,1,
6,146,919440,7.6,305,230,200,1,
6,146,919442,7.58,300,230,200,2,
6,146,919442,7.58,300,230,200,2,
6,146,919445,10.2,354,236,259,1,
6,146,940367,6.1,362,209,220,1,
6,146,940426,5.8,350,210,210,1,
6,190,601449,7.8,361,215,264,1,
6,190,919423,10.9,350,195,255,1,
6,190,936559,2.7,510,280,324,1,
6,190,936562,2.3,445,310,185,1,
6,190,936565,4.1,430,310,425,1,
6,190,938812,3.2,349,318,339,1,
6,190,938813,3.3,432,238,339,1,
6,190,938814,3.9,426,318,365,1,
6,190,938815,3.7,377,354,339,1,
6,190,938816,2.8,480,275,340,1,
6,190,941240,7.7,355,215,265,1,
6,190,941370,11.7,352,198,255,1,
6,190,944065,8.3,361,214,237,1,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559862,6.4,270,205,215,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559863,6.4,274,207,220,18,
8,249,559864,6.32,270,205,220,5,
8,249,559864,6.32,270,205,220,5,
8,249,559864,6.32,270,205,220,5,
8,249,559864,6.32,270,205,220,5,
8,249,559864,6.32,270,205,220,5,
8,249,559865,6.46,270,205,220,5,
8,249,559865,6.46,270,205,220,5,
8,249,559865,6.46,270,205,220,5,
8,249,559865,6.46,270,205,220,5,
8,249,559865,6.46,270,205,220,5,
8,249,559871,6.32,270,205,220,5,
8,249,559871,6.32,270,205,220,5,
8,249,559871,6.32,270,205,220,5,
8,249,559871,6.32,270,205,220,5,
8,249,559871,6.32,270,205,220,5,
8,249,559874,6.32,270,205,215,5,
8,249,559874,6.32,270,205,215,5,
8,249,559874,6.32,270,205,215,5,
8,249,559874,6.32,270,205,215,5,
8,249,559874,6.32,270,205,215,5,
8,261,550677,9,355,270,205,1,
8,261,553114,4.4,365,270,390,1,
8,261,553115,4.9,400,270,375,2,
8,261,553115,4.9,400,270,375,2,
8,261,558769,11.7,430,271,237,1,mediumvioletred
8,261,559257,4.1,365,320,405,4,
8,261,559257,4.1,365,320,405,4,
8,261,559257,4.1,365,320,405,4,
8,261,559257,4.1,365,320,405,4,
8,261,559258,4.1,375,315,420,5,
8,261,559258,4.1,375,315,420,5,
8,261,559258,4.1,375,315,420,5,
8,261,559258,4.1,375,315,420,5,
8,261,559258,4.1,375,315,420,5,
8,261,601450,7.8,360,215,305,2,
8,261,601450,7.8,360,215,305,2,
8,261,601451,7.8,355,215,305,2,
8,261,601451,7.8,355,215,305,2,
8,261,601453,7.8,356,217,311,2,
8,261,601453,7.8,356,217,311,2,
8,261,601456,7.8,360,215,305,1,
8,261,601458,7.9,355,215,305,2,
8,261,601458,7.9,355,215,305,2,
8,261,913775,7.1,305,270,230,1,
8,261,940876,8.2,355,210,235,1,
8,261,940878,8.2,361,214,237,1,
8,261,940879,8.2,361,214,237,1,
8,261,941371,11.7,350,195,255,1,
10,271,534736,8.6,361,215,265,5,
10,271,534736,8.6,361,215,265,5,
10,271,534736,8.6,361,215,265,5,
10,271,534736,8.6,361,215,265,5,
10,271,534736,8.6,361,215,265,5,
10,271,550919,8.6,405,200,160,1,
10,271,551043,4.38,350,215,285,1,
10,271,551477,12.5,430,271,237,5,
10,271,551477,12.5,430,271,237,5,
10,271,551477,12.5,430,271,237,5,
10,271,551477,12.5,430,271,237,5,
10,271,551477,12.5,430,271,237,5,
10,271,554289,7.2,320,180,210,2,
10,271,554289,7.2,320,180,210,2,
10,271,554811,7.12,315,180,215,1,
10,271,554962,2.7,460,265,368,1,mediumpurple
10,271,554964,2.8,480,260,395,1,
10,271,558812,7.38,385,316,132,8,mediumspringgreen
10,271,558812,7.38,385,316,132,8,mediumspringgreen
10,271,558812,7.38,385,316,132,8,mediumspringgreen
10,271,558812,7.38,385,316,132,8,mediumspringgreen
10,271,558812,7.38,385,316,132,8,mediumspringgreen
10,271,558812,7.38,385,316,132,8,mediumspringgreen
10,271,558812,7.38,385,316,132,8,mediumspringgreen
10,271,558812,7.38,385,316,132,8,mediumspringgreen
10,271,559648,10.3,364,257,276,4,
10,271,559648,10.3,364,257,276,4,
10,271,559648,10.3,364,257,276,4,
10,271,559648,10.3,364,257,276,4,
10,271,559832,10.6,360,250,275,5,
10,271,559832,10.6,360,250,275,5,
10,271,559832,10.6,360,250,275,5,
10,271,559832,10.6,360,250,275,5,
10,271,559832,10.6,360,250,275,5,
10,271,559972,10.5,403,256,234,1,
10,271,601868,12.5,425,270,237,5,
10,271,601868,12.5,425,270,237,5,
10,271,601868,12.5,425,270,237,5,
10,271,601868,12.5,425,270,237,5,
10,271,601868,12.5,425,270,237,5,
10,271,603492,8.7,414,240,221,1,
10,271,612006,8,356,217,311,1,
10,271,612007,7.78,350,210,310,1,
10,271,940234,7.8,336,298,228,5,
10,271,940234,7.8,336,298,228,5,
10,271,940234,7.8,336,298,228,5,
10,271,940234,7.8,336,298,228,5,
10,271,940234,7.8,336,298,228,5,
10,271,940425,7.3,422,216,234,1,
10,271,940724,6.6,281,229,236,1,
10,271,941241,7.92,355,215,265,3,
10,271,941241,7.92,355,215,265,3,
10,271,941241,7.92,355,215,265,3,
10,271,941371,11.7,350,195,255,1,
10,271,977715,8.5,410,199,163,1,
10,304,547399,8.18,330,265,250,1,tan
10,304,554914,16.05,458,223,302,2,
10,304,554914,16.05,458,223,302,2,
10,304,558229,7.1,360,335,145,1,
10,306,532174,13.85,360,320,275,1,
10,306,534736,8.6,361,215,265,1,
10,306,536877,3.4,398,252,230,1,
10,306,549133,5.5,359,214,173,2,
10,306,549133,5.5,359,214,173,2,
10,306,549143,20,440,310,315,1,
10,306,550819,19.5,435,300,318,1,
10,306,551477,12.5,430,271,237,1,
10,306,554289,7.2,320,180,210,1,
10,306,554914,16.05,458,223,302,1,
10,306,558229,7.1,360,335,145,1,
10,306,558641,6.4,530,340,390,1,
10,306,559114,7.8,355,215,305,1,
10,306,559200,14.5,395,315,260,1,
10,306,559565,7.1,300,255,206,1,
10,306,601453,7.8,356,217,311,2,
10,306,601453,7.8,356,217,311,2,
10,306,601458,7.9,355,215,305,2,
10,306,601458,7.9,355,215,305,2,
10,306,601734,14.2,423,269,275,2,
10,306,601734,14.2,423,269,275,2,
10,306,601868,12.5,425,270,237,1,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,601869,8.7,356,217,291,17,
10,306,916235,15.9,430,271,274,2,
10,306,916235,15.9,430,271,274,2,
10,306,916236,9.4,414,240,221,1,
10,306,919433,10.9,352,198,255,1,
10,306,941852,8.4,360,190,225,1,
10,398,548336,2.06,275,190,150,3,
10,398,548336,2.06,275,190,150,3,
10,398,548336,2.06,275,190,150,3,
10,398,558802,7.36,385,315,130,1,
10,398,940392,8.1,361,291,226,1,
10,398,940394,8.1,361,291,226,1,
11,342,534736,8.6,361,215,265,5,
11,342,534736,8.6,361,215,265,5,
11,342,534736,8.6,361,215,265,5,
11,342,534736,8.6,361,215,265,5,
11,342,534736,8.6,361,215,265,5,
11,342,601869,8.7,356,217,291,1,
11,342,919556,7.5,270,265,225,1,
11,423,573397,8.68,383,242,195,4,
11,423,573397,8.68,383,242,195,4,
11,423,573397,8.68,383,242,195,4,
11,423,573397,8.68,383,242,195,4,
11,423,602350,10,355,345,200,5,
11,423,602350,10,355,345,200,5,
11,423,602350,10,355,345,200,5,
11,423,602350,10,355,345,200,5,
11,423,602350,10,355,345,200,5,
11,423,602352,10,355,350,200,10,darkkhaki
11,423,602352,10,355,350,200,10,darkkhaki
11,423,602352,10,355,350,200,10,darkkhaki
11,423,602352,10,355,350,200,10,darkkhaki
11,423,602352,10,355,350,200,10,darkkhaki
